Cidade_estacao;Codigo_estacao;Latitude_estacao;Longitude_estacao;0.5;0.5;0.5
 SANTA VITORIA DO PALMAR;83997;-33.53166666;-53.35027777;58-10;58-10;58-10
 BRASILIA; A001;-15.78944444;-47.92583332;58-10;58-10;58-10
 GOIANIA; A002;-16.642841;-49.220222;64-10;64-10;64-10
 MORRINHOS; A003;-17.745066;-49.101698;64-10;64-10;64-10
 NIQUELANDIA; A004;-14.469358;-48.485756;64-10;64-10;64-10
 FACULDADE DA TERRA DE BRASILIA; A008;-15.907513;-48.119977;58-10;58-10;58-10
 PALMAS; A009;-10.190744;-48.301811;64-10;64-10;64-10
 PARA; A010;-12.615;-47.87194443;64-10;64-10;64-10
 SAO SIMAO; A011;-18.969142;-50.633449;64-10;64-10;64-10
 LUZIANIA; A012;-16.26055555;-47.96694443;58-10;64-10;64-10
 ARAGARCAS; A013;-15.90277777;-52.24527777;64-10;64-10;70-10
 GOIAS; A014;-15.93972221;-50.14138888;64-10;64-10;70-10
 ITAPACI; A015;-14.97972221;-49.53999999;64-10;64-10;64-10
 JATAI; A016;-17.923622;-51.717467;64-10;64-10;64-10
 POSSE; A017;-14.08916666;-46.36638888;64-10;64-10;64-10
 PEIXE; A018;-12.015377;-48.544517;64-10;64-10;64-10
 GURUPI; A019;-11.74583333;-49.04972221;64-10;64-10;64-10
 PEDRO AFONSO; A020;-8.968677;-48.177259;64-10;64-10;64-10
 ARAGUAI; A021;-7.10388888;-48.20111111;64-10;64-10;64-10
 GOIANESIA; A022;-15.22027777;-48.98999999;64-10;64-10;64-10
 CAIAPONIA; A023;-16.96694443;-51.81749999;64-10;64-10;64-10
 ALTO PARAISO DE GOIAS; A024;-14.13305554;-47.52333332;58-10;58-10;58-10
 RIO VERDE; A025;-17.78527777;-50.965;64-10;64-10;64-10
 MINEIROS; A026;-17.45472222;-52.60111111;64-10;64-10;64-10
 PARAU; A027;-16.962536;-50.42545;64-10;64-10;64-10
 MONTE ALEGRE DE GOIAS; A032;-13.253521;-46.890326;64-10;64-10;64-10
 PIRES DO RIO; A033;-17.30416666;-48.28416666;64-10;64-10;64-10
 CATALAO; A034;-18.154779;-47.927614;58-10;64-10;64-10
 ITUMBIARA; A035;-18.409761;-49.192061;64-10;64-10;70-10
 CRISTALI; A036;-16.784896;-47.612966;58-10;58-10;64-10
 SILVANIA; A037;-16.67972221;-48.61805554;64-10;64-10;64-10
 DIANOPOLIS; A038;-11.59444444;-46.84722221;64-10;64-10;64-10
 FORMOSO DO ARAGUAIA; A039;-11.88749999;-49.60833333;64-10;64-10;64-10
 ARAGUATINS; A044;-5.6436111;-48.11194444;64-10;64-10;64-10
 AGUAS EMENDADAS; A045;-15.596491;-47.625801;58-10;64-10;64-10
 MAUS; A101;-3.10361111;-60.01555555;58-10;64-10;64-10
 PARQUE ESTADUAL CHANDLESS; A102;-9.35833333;-69.92638888;64-10;64-10;64-10
 RIO BRANCO; A104;-9.95777777;-68.16527777;64-10;64-10;64-10
 BOCA DO ACRE; A110;-8.77666666;-67.33249999;64-10;64-10;64-10
 LABREA; A111;-7.26055555;-64.7886111;64-10;64-10;64-10
 HUMAITA; A112;-7.5525;-63.07138888;64-10;64-10;64-10
 APUI; A113;-7.20555555;-59.8886111;64-10;64-10;64-10
 COARI; A117;-4.09749999;-63.14527777;58-10;64-10;64-10
 MACAPURU; A119;-3.29472221;-60.62833332;58-10;64-10;64-10
 AUTAZES; A120;-3.58333333;-59.12944443;58-10;64-10;64-10
 ITACOATIARA; A121;-3.13333333;-58.48277777;58-10;58-10;64-10
 MAUES; A122;-3.39888888;-57.67388888;58-10;64-10;64-10
 PARINTINS; A123;-2.63916666;-56.75611111;58-10;58-10;64-10
 URUCARA; A124;-2.53472221;-57.75805555;58-10;64-10;64-10
 RIO URUBU; A125;-2.6336111;-59.60055555;58-10;64-10;64-10
 PRESIDENTE FIGUEIREDO; A126;-2.05666666;-60.02583332;58-10;64-10;64-10
 BARCELOS; A128;-0.98722221;-62.92416666;58-10;64-10;64-10
 S. G. DA CACHOEIRA; A134;-0.125207;-67.061246;58-10;58-10;58-10
 BOA VISTA; A135;2.81694443;-60.69083333;64-10;64-10;64-10
 PORTO WALTER; A136;-8.26722221;-72.74777777;58-10;64-10;64-10
 FEIJO; A138;-8.142654;-70.343594;58-10;64-10;64-10
 EPITACIOLANDIA; A140;-11.02388888;-68.73527777;64-10;64-10;64-10
 BELEM; A201;-1.411228;-48.439512;58-10;64-10;64-10
 CASTANHAL; A202;-1.30083333;-47.94805555;58-10;58-10;58-10
 SAO LUIS; A203;-2.52666666;-44.21361111;58-10;58-10;58-10
 BALSAS; A204;-7.45555555;-46.02749999;64-10;64-10;64-10
 CAROLI; A205;-7.337269;-47.459839;64-10;64-10;64-10
 CHAPADINHA; A206;-3.74277777;-43.35222222;64-10;64-10;64-10
 GRAJAU; A207;-5.81611111;-46.16222222;64-10;64-10;64-10
 MEDICILANDIA; A209;-3.51083333;-52.96333333;58-10;58-10;58-10
 PACAJA; A210;-3.8436111;-50.63805555;58-10;58-10;58-10
 PLACAS; A211;-3.86416666;-54.21638888;58-10;64-10;64-10
 PARAGOMIS; A212;-2.99027777;-47.40777777;58-10;58-10;58-10
